file	t	f0	intensity
 2.wav	1.14	102.26359981624866	35.27957522887288
 2.wav	1.145	102.02282733041079	34.90932306105637
 2.wav	1.15	101.83114264423702	34.450672897978286
 2.wav	1.155	101.71656941918327	33.90106046253572
 2.wav	1.16	101.63682794603152	33.26363855591764
 2.wav	1.165	101.57673104528605	32.541081743362376
 2.wav	1.17	101.5481459440527	31.745442905067677
 2.wav	1.175	101.65897124964408	30.884708114166944
 2.wav	1.18	102.00373876915758	29.980344014645134
 2.wav	1.185	102.5361674065979	29.045466171587453
 2.wav	1.19	102.98084801855829	28.10936917615245
 2.wav	1.195	103.06262892145654	27.181469389430998
 2.wav	1.2	102.70560938924679	26.296167591912088
 2.wav	1.205	102.14363487750641	25.456157499704865
 2.wav	1.21	101.63816718218207	24.700833689238575
 2.wav	1.215	101.38396598093719	24.029347277387938
 2.wav	1.22	101.36868651807097	23.472831826636728
 2.wav	1.225	101.54935561145692	23.01125362191351
 2.wav	1.23	101.87197862773206	22.646528249554834
 2.wav	1.235	102.28383857200053	22.338581842485766
 2.wav	1.24	102.67783656291832	22.07492415946763
 2.wav	1.245	102.96986462305752	21.820722050213387
 2.wav	1.25	103.16197637002229	21.571273294867463
 2.wav	1.255	103.30882504711529	21.308498919539346
 2.wav	1.26	103.41918557261378	21.03347531978414
 2.wav	1.265	103.44810758663728	20.73869345466363
 2.wav	1.27	103.34976798635397	20.42745437659315
 2.wav	1.275	103.15029762904452	20.0986175485303
 2.wav	1.28	102.95193272861496	19.75966335031531
 2.wav	1.285	102.88086383308024	19.4162455235687
 2.wav	1.29	102.98724371261586	19.080674986866867
 2.wav	1.295	103.2130822897909	18.75995845226368
 2.wav	1.3	103.48311061183476	18.461655200555395
 2.wav	1.305	103.70937403590908	18.184423961793172
 2.wav	1.31	103.80521973413094	17.921365942203103
 2.wav	1.315	103.75292205934333	17.66255453685806
 2.wav	1.32	103.68383164744995	17.393552418921974
 2.wav	1.325	103.77080008834972	17.10684928985138
 2.wav	1.33	104.1150177235028	16.799129002467254
 2.wav	1.335	104.60818328244648	16.464146878921717
 2.wav	1.34	104.93304353589988	16.111985648385957
 2.wav	1.345	104.78887656305429	15.733649668192133
 2.wav	1.35	104.18650100095539	15.333368298369301
 2.wav	1.355	103.39938529498917	14.895839585588256
 2.wav	1.36	102.73779907276048	14.42956958367352
 2.wav	1.365	102.35303210642691	13.937494401330062
 2.wav	1.37	102.27004066777315	13.459082329025613
 2.wav	1.375	102.4731813766947	13.022674536758787
 2.wav	1.38	102.96076528940085	12.665491215794084
 2.wav	1.385	103.74013257613869	12.380003897970521
 2.wav	1.39	104.85379623919629	12.140437828971377
 2.wav	1.395	--undefined--	11.902433344761757
 2.wav	1.4	--undefined--	11.64150669284049
 2.wav	1.405	--undefined--	11.361461246767172
 2.wav	1.41	--undefined--	11.092021176121975
 2.wav	1.415	--undefined--	10.867153468180943
 2.wav	1.42	--undefined--	10.7109650545753
 2.wav	1.425	--undefined--	10.616728962506055
 2.wav	1.43	--undefined--	10.557603398064103
 2.wav	1.435	--undefined--	10.500832430469133
 2.wav	1.44	--undefined--	10.4252002238388
