file	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	0.262	--undefined--	986.758	1985.785	2846.584	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	16.659	-1.1236439519925265	-2.09911581233255	-4.315100140166837	-5.068236074348592	10.457799215711505
 1.wav	0.267	--undefined--	895.84	1929.886	2809.06	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	14.035	-0.9956121763556413	-0.9030314614589328	-3.3017328426637205	-3.774757453791464	10.432012212020638
 1.wav	0.272	--undefined--	923.036	2012.655	3091.739	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.947	-2.583161614852111	-3.006117931851283	-3.7462337833655206	-4.458849014003055	10.451656679616281
 1.wav	0.277	--undefined--	965.558	1881.158	3024.778	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.848	-0.47395284785669783	-3.3386622044837413	-4.071357675257932	-5.171041510961434	10.510900491581488
 1.wav	0.282	--undefined--	1051.23	1734.625	2861.438	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.72	-0.8331920480634167	-1.4837617977739535	-3.117540037512519	-4.157610918186733	10.590688235914982
 1.wav	0.287	--undefined--	1070.865	1834.015	2692.556	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	12.467	-2.528590069116234	-3.4964245874951105	-4.127645467944955	-5.036444713839856	10.664178577155193
 1.wav	0.292	--undefined--	1076.731	1886.788	2702.141	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.557	-4.344969288529778	-4.16301504855651	-4.43729113696166	-5.5634022640962035	10.7092006533229
 1.wav	0.297	--undefined--	1070.827	1736.347	2654.308	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	16.871	-0.6370913757530083	-3.1041980907129982	-3.4466078586532065	-5.136293213314503	10.714207697701212
 1.wav	0.302	--undefined--	1236.844	1636.085	2635.273	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	16.018	-3.9015755079577015	-3.5722646949810324	-4.75367729922816	-5.278257791690145	10.682486999630365
 1.wav	0.307	--undefined--	1157.893	1972.682	2836.186	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	0	0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	0	0	0	0	0	0	15.076	-1.1710977033590257	-2.4533943332700283	-4.177212719194555	-4.767791547823083	10.629535500056146
