file	label	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity
 1.wav	a	0.858	130.19819819451826	856.864	1420.443	2832.762	75.376518898219	76.68053791679074	65.61400325859535	58.791689681568954	56.293218042457056	67.77622443418389	54.506661572651716	44.25431649955981	75.65277883155287	77.81925117503684	70.8676935593717	89.15582662661541	81.3922066789224	66.54484832393737	40.945846664196004	45.49177728417656	115.14712966997033	-1.3040190185717364	11.066534658195394	16.58482921665005	19.083300855761948	7.600294464035116	10.252345073091902	-2.1664723434839743	6.951557615665138	-13.503047795062542	-5.739427847369541	9.107930507615492	17.157	13.913092033880135	6.193957901059253	5.8775552762602965	5.647662570469441	53.26283533630659
 1.wav	a	0.863	128.0973102000893	872.086	1439.532	2817.522	75.08025080382843	76.76171335921862	63.795114426293374	57.75979519720924	54.49779323709624	65.9777255272711	54.90458756819877	38.600492229949	75.3388690856291	77.82551125199707	68.64629430096208	88.35731051661543	79.82366082820242	65.7176884968762	40.770939571546606	45.52935766785447	113.25713077644572	-1.6814625553901834	12.966598932925244	17.32045560661919	20.582457566732195	9.10252527655733	16.304095338249773	-2.4866421663679716	9.179216951034988	-13.018441430986329	-4.4847917425733215	9.621180588752893	19.566	13.167209005304972	5.460124838553282	4.744680875168815	4.571474138191916	52.415370884256646
 1.wav	a	0.868	126.08867867015883	899.406	1464.211	2785.528	74.76734825553828	76.90890897111768	61.48923887015957	54.940837675726854	51.37658980663946	63.98458115538829	54.015644447340854	38.26707497049125	75.00455745063302	77.8820945046515	65.8641597938727	85.97387157973445	77.20482223558963	65.35125800519197	40.658455225718654	45.68788354110093	110.1242444209184	-2.141560715579402	15.419670100958115	19.826510579811426	23.390758448898822	10.78276710014999	15.748569476849603	-2.8775370540184895	12.017934710778803	-10.969314129101434	-2.200264784956616	9.65329944544105	18.304	11.001402152534192	4.206923667590412	3.6886732915650993	3.5991369621667104	51.48948349248627
 1.wav	a	0.873	124.24434273261964	925.168	1479.225	2698.394	74.57942574861426	76.60578795904942	58.514051799987385	51.55180698582912	47.156921953540476	57.92610551495059	55.559055118070845	36.636218332314364	74.79917588073485	77.50537681708246	62.51154573061547	83.04867904036782	73.57896876624966	61.773824216527906	40.55483948303325	45.711722237079854	102.98963450976588	-2.026362210435167	18.091736159062037	23.02761876278514	27.42250379507378	16.653320233663663	18.92283678575648	-2.7062009363476136	14.993831086466997	-8.249503159632965	1.2202071144851914	13.025351664206944	17.646	13.007868710794444	0.974740205448597	0.6773228245234081	0.6441482963596296	50.494956089259475
 1.wav	a	0.878	122.55636164347511	927.443	1473.55	2670.602	74.39569295772691	75.81661662099985	55.6788863229157	51.0655191648829	44.97767321405716	58.12949480922451	55.51815550940663	39.3876197997183	74.60917652380351	76.68988220035938	59.54397944307996	82.69529236146552	71.6082735043075	62.51112290636922	40.365889290177265	45.385923468597454	100.46038516213191	-1.4209236632729443	20.13773029808415	23.330173792844008	29.418019743669745	16.266198148502397	16.13053570968833	-2.0807056765558656	17.145902757279416	-8.086115837662007	3.0009030194960076	12.098053617434289	17.599	13.386349783533758	1.363453021400238	0.7233203608549195	0.6894817055018563	49.440173259852685
 1.wav	a	0.883	121.00080723960014	911.913	1479.575	2668.72	74.2262141612251	75.26000634125097	54.191746263894714	50.794948305778405	47.268796323844725	57.34233590646353	53.63419814406114	42.102820276491485	74.43895178845294	76.13040555177709	58.04859355024252	82.10104515393962	73.35969300831806	61.56955048718156	40.11522274784766	45.28730286360556	99.86871015446755	-1.0337921800258698	21.068260077356257	23.431265855446696	26.957417837380376	16.88387825476157	11.531377867569653	-1.691453763324148	18.081812001534566	-7.662093365486683	1.0792587801348787	12.869401301271381	19.079	13.610999877271027	3.0875365377458492	2.349017290771719	2.2644816437089164	48.370054717311
 1.wav	a	0.888	119.56607636430647	896.962	1465.792	2732.623	74.06362025296345	74.78995664115918	53.29767507832708	49.87855083495328	47.723820311328744	57.439662564760766	54.26244237918532	42.275516259921055	74.27748091300339	75.66514856576232	57.1803606842404	81.01580184016069	73.6158403727246	59.92493614722001	39.88153083567503	44.8541473697628	104.09744043548042	-0.7263363881957332	21.492281562832098	24.185069418010166	26.339799941634702	16.62395768820268	11.986926119264268	-1.3876676527589353	18.484787881521925	-6.738320927157304	0.6616405402787819	14.352544765783378	19.107	16.24797233398661	2.5485807335512725	1.8753342494859986	1.7948212369116958	47.32205567395843
 1.wav	a	0.893	118.20794273319393	856.528	1458.384	2784.919	73.90232535062339	74.1977896179938	52.14294643119598	48.72397225147343	48.48420121211957	56.645401056002456	53.82503594596879	39.15874959982738	74.12670552318724	75.11767148544662	56.26263501572097	79.13320101316118	73.27818877079146	57.18558520864126	39.5423862300712	44.548104472437956	107.57081012657319	-0.29546426737042	22.054843186797825	25.17835309914996	25.418124138503813	17.25692429462093	14.666286346141412	-0.9909659622593807	18.855036469725654	-5.006495489973943	0.8485167523957813	16.941120314545984	18.867	15.452577521219164	5.7416351730125905	4.767786558851838	4.587697759020804	46.340618823473754
 1.wav	a	0.898	116.87270674920273	807.357	1441.672	2666.884	73.77303329990801	73.21435601872187	51.370367800327074	47.00460707826481	50.0796065007105	57.61525837964271	54.56268574641578	37.235379356059646	74.01428412458088	74.20609567664853	55.878028498679456	76.58001553013378	73.6292132340337	58.98057813125949	39.149757436929335	44.09582154198397	98.52926295918604	0.5586772811861351	21.8439882183948	26.768426221643196	23.69342679919751	16.157774920265297	17.327306390356135	-0.191811552067648	18.328067177969075	-2.5657314055528957	0.38507089054718335	15.03370599332139	17.976	16.000541493541796	5.901302838642516	5.360435022343307	5.221738099221625	45.417151970391686
 1.wav	a	0.903	115.46139846896217	776.331	1443.153	2679.941	73.41644303051694	71.59173931393703	52.04362070084838	45.061762743268574	51.78703780697586	58.68351797651076	54.940815264718935	36.948058773570935	73.66648619031778	72.62142204550587	56.769720887664946	74.06820779369843	74.37819231560488	59.115833522717224	38.82000662293314	43.93502572031887	99.04285185745098	1.8247037165799185	19.548118613088647	28.35468028724837	21.629405223541085	14.732925054006188	17.992756491148	1.0450641448119171	15.851701157840921	-0.40172160338065055	-0.711706125287094	14.55065266760056	17.116	14.134196432035717	1.4635639061671277	0.6519068270445373	0.5879329975811419	44.52076010826428
